id_ville,nom_ville,id_region,Latitude,Longitude
1,Saint-Louis,1,16.02484908042378, -16.50776853954789
2,Podor,1,16.65973865591105, -14.96013911482124
3,Matam,1,15.223940479091292, -13.614106862088205
4,Dakar,2,14.726524345075282, -17.478861899549525 
5,Thiès,2,14.787886275100407, -16.93551338257518
6,Tivaouane,2,14.953366217875006, -16.811861042111197
7,Mboro,2,15.139135297611832, -16.882963014435763
8,Kaolack,3,14.165074443842407, -16.078406565983315
9,Kaffrine,3,14.103892899646338, -15.549203470977481
10,Fatick,3,14.339443017548694, -16.412909286558484
11,Diourbel,3,14.656787737556074, -16.23493940519708
12,Ziguinchor,4,12.562913499040134, -16.26869149093616
13,Sédhiou,4,12.704858672556389, -15.5564907414594
14,Kolda,4,12.900032659849538, -14.9444644327202
15,Tambacounda,5,13.773063735088623, -13.669647371137101
16,Kédougou,5,12.561091480267264, -12.175234603353537
